params_id,temperature,top_k,top_p,repetition_penalty,max_new_tokens,cosine_similarity,bert_similarity,inference_time
1,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
2,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
3,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
4,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
5,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
6,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
7,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
8,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
9,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
10,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
11,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
12,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
13,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
14,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
15,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
16,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
17,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
18,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
19,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
20,0.8,30,0.5,1.1,2048,0.9644683139318314,0.8198980093002319,133.65862393379211
