Parameters,Fitness
"{'temperature': 1.194811272669737, 'top_k': 94, 'top_p': 0.938087017291158, 'repetition_penalty': 1.0655505940989431, 'max_new_tokens': 1024}","(0.8181095719337463, 141.369943857193)"
"{'temperature': 1.194811272669737, 'top_k': 94, 'top_p': 0.938087017291158, 'repetition_penalty': 1.0655505940989431, 'max_new_tokens': 1024}","(0.8181095719337463, 141.369943857193)"
"{'temperature': 1.194811272669737, 'top_k': 94, 'top_p': 0.938087017291158, 'repetition_penalty': 1.0655505940989431, 'max_new_tokens': 1024}","(0.8181095719337463, 141.369943857193)"
"{'temperature': 1.194811272669737, 'top_k': 94, 'top_p': 0.938087017291158, 'repetition_penalty': 1.0655505940989431, 'max_new_tokens': 1024}","(0.8181095719337463, 141.369943857193)"
"{'temperature': 1.194811272669737, 'top_k': 94, 'top_p': 0.938087017291158, 'repetition_penalty': 1.0655505940989431, 'max_new_tokens': 1024}","(0.8181095719337463, 141.369943857193)"
"{'temperature': 1.194811272669737, 'top_k': 94, 'top_p': 0.938087017291158, 'repetition_penalty': 1.0655505940989431, 'max_new_tokens': 1024}","(0.8181095719337463, 141.369943857193)"
"{'temperature': 1.194811272669737, 'top_k': 94, 'top_p': 0.938087017291158, 'repetition_penalty': 1.0655505940989431, 'max_new_tokens': 1024}","(0.8181095719337463, 141.369943857193)"
"{'temperature': 1.194811272669737, 'top_k': 94, 'top_p': 0.938087017291158, 'repetition_penalty': 1.0655505940989431, 'max_new_tokens': 1024}","(0.8181095719337463, 141.369943857193)"
"{'temperature': 1.194811272669737, 'top_k': 94, 'top_p': 0.938087017291158, 'repetition_penalty': 1.0655505940989431, 'max_new_tokens': 1024}","(0.8181095719337463, 141.369943857193)"
"{'temperature': 1.194811272669737, 'top_k': 94, 'top_p': 0.938087017291158, 'repetition_penalty': 1.0655505940989431, 'max_new_tokens': 1024}","(0.8181095719337463, 141.369943857193)"
